Cfematicos,BAJA CALIFORNIA,MEXICALI CIUDAD MORELOS,Centro,"Av. Lázaro Cárdenas entre Zaragoza y Allende, Col. Centro, CP 21960, Delegación Cd. Morelos",32.634749,-114.853733,Lunes - Viernes,8:00 - 15:00
Cfematicos,BAJA CALIFORNIA,MEXICALI POB. GUADALUPE VICTORIA,Centro,"Av. Insurgentes y calle Quinta s/n, Col. Centro, CP 27120, Delegación Gpe Victoria",32.285083,-115.10272,Lunes - Viernes,8:00 - 15:00
Cfematicos,BAJA CALIFORNIA,TIJUANA,Centro,"Av. Cañón Aviación no. 1889, C.P.22320",32.52798181,-117.0141578,Lunes - Viernes,7:00 - 20:00
Cfematicos,BAJA CALIFORNIA,TIJUANA,Fracc. Jardínes de la Mesa,"Blvd. Díaz Ordaz no. 17171, C.P. 22126",32.46460727,-116.9302851,Lunes - Viernes,7:00 - 18:00 
Cfematicos,BAJA CALIFORNIA,TIJUANA,Fracc. Matamoros,"Fco. Javier Mina no.11034-9, C.P. 22680",32.5016547,-116.8900037,Lunes - Viernes,8:00 - 18:00 
Cfematicos,BAJA CALIFORNIA,TIJUANA,Francisco Villa,"Av. Ensenada no. 2494 esq. calle San Felipe, C.P. 22140",32.51758759,-117.0614398,Lunes - Viernes,8:00 - 16:00
Cfematicos,BAJA CALIFORNIA,TIJUANA,Mesa,"Av. Federico Benítez no. 10000, C.P. 22460",32.49166466,-116.9461584,Lunes - Viernes,7:00 - 20:00 
Cfematicos,BAJA CALIFORNIA,TIJUANA,Moderna,Hidalgo no. 151 esq. E. Santana,32.57116508,-116.6360843,Lunes - Viernes,8:00 - 18:00 
Cfematicos,BAJA CALIFORNIA,TIJUANA,Otay,"Carret. Aeropuerto no. 1900, local D-5, C.P. 22510",32.5304965,-116.9483042,Lunes - Viernes,8:00 - 18:00 
Cfematicos,BAJA CALIFORNIA,TIJUANA,Playas,"Paseo Pedregal, C.P. 22200",32.52917585,-117.1189141,Lunes - Viernes,8:00 - 18:00 
Cfematicos,BAJA CALIFORNIA,TIJUANA,Santa Fe,"Via Oriente no. 7002, C.P. 22710",32.44610727,-117.0342207,Lunes - Viernes,8:00 - 8:00 
Cfematicos,BAJA CALIFORNIA SUR,CABO SAN LUCAS,Fracc. el Pedregal,"Camino al cerro s/n, Fracc. Pedregal",22.879615,-109.913557,Lunes - Viernes,24 Horas
Cfematicos,BAJA CALIFORNIA SUR,CONSTITUCIÒN,Centro,"Blvd. Agustín Olachea no. 103, C.P. 23600, Cd. Constitución B.C.S.",22.8991063,-109.912564,Lunes - Viernes,08:00 - 14:30
Cfematicos,BAJA CALIFORNIA SUR,LA PAZ,Centro,Melchor Ocampo entre Ignacio Ramírez e Ignacio Altamirano,32.483194,-117.022398,Lunes - Viernes,08:00 - 14:30
Cfematicos,BAJA CALIFORNIA SUR,LA PAZ,Instituto Tecnológico,Blvd. Colosio entre Blvd. Forjadores (Plaza Forjadores),24.136963,-110.287886,Lunes - Viernes,08:00 - 14:00
Cfematicos,BAJA CALIFORNIA SUR,LA PAZ,La joya,"Carretera a Tds Km 4.5, Fracc. la Joya",32.515706,-116.883341,Lunes - Viernes,08:00 - 14:30
Cfematicos,BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,Chula Vista,Misión San Javier esq. con Misión San José,32.493981,-116.944056,Lunes - Viernes,08:00 - 14:30
Cfematicos,CAMPECHE,CIUDAD DEL CARMEN,Centro,"Av. Concordia esq. Periférica Norte, local 28 Plaza Real",18.650154,-91.812454,Lunes - Viernes,CFEMATICO 24 HORAS
Cfematicos,CAMPECHE,CIUDAD DEL CARMEN,Centro,Calle 24 no. 49,18.636745,-91.834556,Lunes - Viernes,CFEMATICO 24 HORAS
Cfematicos,CAMPECHE,ESCARCEGA,Centro,Calle 28 x 27,18.602791,-90.731664,Lunes - Viernes,"7:00 - 17:00 HRS ATENCION PERSONALIZADA, 7:00 - 17:00 HRS CFEMATICOS"
Cfematicos,CAMPECHE,NUEVO PROGRESO,Centro,"Calle 47, Col. Pallas",18.643561,-91.842361,Lunes - Viernes,CFEMATICO 24 HORAS
Cfematicos,CAMPECHE,NUEVO PROGRESO,Centro,"Calle Morales Saenz s/n, Col. San Manuel",18.658489,-91.796377,Lunes - Viernes,CFEMATICO 24 HORAS
Cfematicos,CHIAPAS,ARRIAGA,Centro,"12a calle norte y 2a Av. pte, Arriaga",16.236189,-93.899358,Lunes - Viernes,8:00 - 20:00 
Cfematicos,CHIAPAS,BENITO JUAREZ,Benito Juárez,"Domicilio conocido, la Concordia",17.6121564,-93.1779266,Lunes - Viernes,08:00 - 14:00
Cfematicos,CHIAPAS,CACAHOATAN,Barrio Guadalupe,"11 calle oriente no. 8, Cacahoatán",14.995323,-92.164221,Lunes - Viernes, 8:00 - 22:30
Cfematicos,CHIAPAS,CHIAPA DE CORZO,Centro,"Calzada Victorico R. Grajales s/n, Chiapa de Corzo",16.755669,-93.021069,Lunes - Viernes,08:00 - 15:30
Cfematicos,CHIAPAS,COMITAN,Centro,"2a calle sur oriente no. 2, Comitán de Domínguez",16.251305,-92.134931,Lunes - Viernes,8:00 - 19:00
Cfematicos,CHIAPAS,FRONTERA COMALAPA,Frontera Comalapa,3a Av. pte. norte s/n,15.368244,-92.2415471,Lunes - Viernes,8:00 - 15:30
Cfematicos,CHIAPAS,HUIXTLA,Centro,"Carret. Huixtla-Tamaulipas Km 1, Huixtla",14.9153219,-92.2450704,Lunes - Viernes,8:00 - 22:30 
Cfematicos,CHIAPAS,MAPASTEPEC,Centro,"Calle central pte. no. 306, Suchiate",14.6666667,-92.1472222,Lunes - Viernes,8:00 - 15:30
Cfematicos,CHIAPAS,OCOSINGO,Barrio Aeropuerto," 2a Av. Sur Oriente no. 244, Ocosingo",16.911737,-92.084398,Lunes - Viernes,8:00 - 19:00
Cfematicos,CHIAPAS,OCOZOCUAUTLA,Centro,"6 ote entre 6 y 7 sur no. 727, Ocozocoautla de Espinoza",16.75166,-93.367739,Lunes - Viernes,08:00 - 15:30
Cfematicos,CHIAPAS,PALENQUE,Centro,"Calle Jiménez no. 20, Palenque",17.517886,-91.979191,Lunes - Viernes,08:00 - 14:30
Cfematicos,CHIAPAS,SAN CRISTOBAL,Centro,"General Utrilla no. 5, San Cristobal",16.739085,-92.636826,Lunes - Viernes,8:00 - 19:00
Cfematicos,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,Barrio de Fátima,Calzada del Cementerio s/n,16.731312,-92.653832,Lunes - Viernes,08:00 - 15:30
Cfematicos,CHIAPAS,TAPACHULA CENTRO,Centro,"Central sur y 4a pte. esq., Tapachula",14.903784,-92.265233,Lunes - Viernes,8:00 - 18:00
Cfematicos,CHIAPAS,TUXTLA,Centro,"1a Norte oriente no. 403, Tuxtla Gutiérrez",16.753551,-93.110032,Lunes - Viernes,08:00 - 17:00
Cfematicos,CHIAPAS,TUXTLA CHICO,Barrio San Juan,"Av. Central Norte s/n, Tuxtla Chico",14.9345081,-92.25234345,Lunes - Viernes,8:00 - 15:30
Cfematicos,CHIAPAS,TUXTLA GUTIERREZ,Centro,"1a Norte oriente no. 403, Tuxtla Gutiérrez",16.753962,-93113231,Lunes - Viernes,08:00 - 17:00
Cfematicos,CHIAPAS,TUXTLA GUTIERREZ,Centro,"Carret. antigua a Francisco Villa s/n, Villaflores",16.232572,-93.265776,Lunes - Viernes,08:00 - 15:30
Cfematicos,CHIAPAS,TUXTLA GUTIERREZ,El Magueyito,12 pte norte no. 565,16.774425,-93.11724,Lunes - Viernes,08:00 - 15:30
Cfematicos,CHIAPAS,TUXTLA GUTIERREZ,El Valle,Lib. Norte ote. no. 1241,16.751085,-93.076261,Lunes - Viernes,08:00 - 15:30
Cfematicos,CHIAPAS,TUXTLA GUTIERREZ,Residencial la Hacienda,"5a Norte poniente no. 2100, Tuxtla Gutiérrez",16.761749,-93.135459,Lunes - Viernes,08:00 - 23:59
Cfematicos,CHIAPAS,VENUSTIANO CARRANZA,Centro,"Av. central no. 26, Venustiano Carranza",14.9006871,-92.2418982,L-V,8:00 A 15:30
Cfematicos,CHIHUAHUA,ALVARO OBREGON,Centro,Juárez y séptima s/n,31.6661904,-106.4507172,Lunes - Viernes,08:00 -16:00
Cfematicos,CHIHUAHUA,CHIHUAHUA,Fracc. Satélite,Tecnológico y Mercurio no. 3900,28.666303,-106.090508,Lunes - Viernes,08:00 - 17:00
Cfematicos,CHIHUAHUA,CHIHUAHUA,Obrera,Ojinaga y calle 39,28.646381,-106.064254,Lunes - Viernes,08:00 - 17:00
